date,travel.state.gov,ustraveldocs,ds 160,ds-160,ds160
2004-06-08,9.36,0.0,0.0,0.0,0.0
2004-06-09,22.32,0.0,0.0,0.0,0.0
2004-06-10,10.08,0.0,0.0,0.0,0.0
2004-06-11,10.56,0.0,0.0,0.0,0.0
2004-06-12,0.0,0.0,0.0,0.0,0.0
2004-06-13,0.0,0.0,0.0,0.0,0.0
2004-06-14,9.36,0.0,0.0,0.0,0.0
2004-06-15,14.16,0.0,0.39,0.0,0.0
2004-06-16,9.6,0.0,0.0,0.0,0.0
2004-06-17,9.6,0.0,0.0,0.0,0.0
2004-06-18,10.56,0.0,0.0,0.0,0.0
2004-06-19,0.0,0.0,0.0,0.0,0.0
2004-06-20,0.0,0.0,0.0,0.0,0.0
2004-06-21,18.48,0.0,0.0,0.0,0.0
2004-06-22,9.36,0.0,0.0,0.0,0.0
2004-06-23,9.6,0.0,0.0,0.0,0.0
2004-06-24,10.08,0.0,0.0,0.0,0.0
2004-06-25,21.36,0.0,0.0,0.0,0.0
2004-06-26,16.56,0.0,0.69,0.0,0.0
2004-06-27,17.04,0.0,0.0,0.0,0.0
2004-06-28,24.0,0.0,0.0,0.0,0.0
2004-06-29,9.6,0.0,0.0,0.0,0.0
2004-06-30,16.32,0.0,0.0,0.0,0.0
2004-07-01,5.04,0.0,0.0,0.0,0.0
2004-07-02,5.28,0.0,0.0,0.0,0.0
2004-07-03,0.0,0.0,0.0,0.0,0.0
2004-07-04,8.4,0.0,0.0,0.0,0.0
2004-07-05,5.28,0.0,0.0,0.0,0.0
2004-07-06,11.76,0.0,0.0,0.0,0.0
2004-07-07,6.96,0.0,0.0,0.2,0.0
2004-07-08,7.92,0.0,0.0,0.0,0.0
2004-07-09,5.28,0.0,0.0,0.0,0.0
2004-07-10,0.0,0.0,0.0,0.0,0.0
2004-07-11,7.92,0.0,0.0,0.0,0.0
2004-07-12,9.12,0.0,0.0,0.0,0.0
2004-07-13,11.52,0.0,0.0,0.0,0.0
2004-07-14,24.0,0.0,0.0,0.0,0.0
2004-07-15,6.0,0.0,0.0,0.0,0.0
2004-07-16,6.96,0.0,0.0,0.0,0.0
2004-07-17,0.0,0.0,0.0,0.0,0.0
2004-07-18,10.8,0.0,0.0,0.0,0.0
2004-07-19,7.92,0.0,0.0,0.0,0.0
2004-07-20,0.0,0.0,0.0,0.0,0.0
2004-07-21,4.8,0.0,0.0,0.0,0.0
2004-07-22,9.84,0.0,0.0,0.0,0.0
2004-07-23,7.92,0.0,0.0,0.0,0.0
2004-07-24,8.16,0.0,0.0,0.0,0.0
2004-07-25,7.92,0.0,0.0,0.0,0.0
2004-07-26,11.04,0.0,0.2,0.0,0.2
2004-07-27,4.8,0.0,0.0,0.0,0.0
2004-07-28,4.8,0.0,0.0,0.0,0.0
2004-07-29,7.44,0.0,0.0,0.0,0.0
2004-07-30,5.28,0.0,0.0,0.0,0.0
2004-07-31,8.4,0.0,0.0,0.0,0.0
2004-08-01,11.44,0.0,0.0,0.0,0.0
2004-08-02,6.82,0.0,0.0,0.0,0.0
2004-08-03,6.6,0.0,0.0,0.0,0.0
2004-08-04,11.22,0.0,0.0,0.3,0.0
2004-08-05,0.0,0.0,0.0,0.0,0.0
2004-08-06,7.48,0.0,0.0,0.0,0.0
2004-08-07,0.0,0.0,0.0,0.0,1.04
2004-08-08,11.44,0.0,0.0,0.0,0.0
2004-08-09,6.6,0.0,0.0,0.0,0.0
2004-08-10,6.6,0.0,0.0,0.0,0.0
2004-08-11,13.2,0.0,0.0,0.0,0.0
2004-08-12,16.72,0.0,0.0,0.0,0.0
2004-08-13,7.04,0.0,0.0,0.0,0.0
2004-08-14,22.0,0.0,0.0,0.0,1.0
2004-08-15,11.0,0.0,0.0,0.0,0.0
2004-08-16,6.6,0.0,0.0,0.0,0.0
2004-08-17,6.38,0.0,0.0,0.0,0.0
2004-08-18,6.6,0.0,0.0,0.0,0.0
2004-08-19,6.6,0.0,0.0,0.0,0.0
2004-08-20,14.08,0.0,0.0,0.0,0.0
2004-08-21,0.0,0.0,0.0,0.0,0.0
2004-08-22,0.0,0.0,0.0,0.0,0.0
2004-08-23,8.36,0.0,0.0,0.0,0.56
2004-08-24,9.02,0.0,0.0,0.0,0.0
2004-08-25,6.16,0.0,0.0,0.0,0.0
2004-08-26,6.38,0.0,0.0,0.0,0.0
2004-08-27,10.12,0.0,0.0,0.0,0.0
2004-08-28,10.34,0.0,0.0,0.0,0.0
2004-08-29,0.0,0.0,0.0,0.0,0.0
2004-08-30,6.16,0.0,0.0,0.0,0.56
2004-08-31,8.8,0.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0
2004-09-02,5.89,0.0,0.0,0.0,0.0
2004-09-03,0.0,0.0,0.0,0.0,0.0
2004-09-04,9.69,0.0,0.0,0.0,0.0
2004-09-05,19.0,0.0,0.0,0.0,0.0
2004-09-06,6.27,0.0,0.0,0.0,0.0
2004-09-07,5.51,0.0,0.0,0.0,0.0
2004-09-08,5.51,0.0,0.0,0.0,0.29
2004-09-09,9.31,0.0,0.0,0.0,0.0
2004-09-10,0.0,0.0,0.0,0.0,0.0
2004-09-11,0.0,0.0,0.0,0.0,0.0
2004-09-12,0.0,0.0,0.0,0.0,0.0
2004-09-13,5.32,0.0,0.0,0.0,0.0
2004-09-14,7.98,0.0,0.0,0.0,0.0
2004-09-15,7.22,0.0,0.0,0.0,0.0
2004-09-16,5.7,0.0,0.0,0.0,0.0
2004-09-17,8.93,0.0,0.0,0.0,0.0
2004-09-18,0.0,0.0,0.0,0.0,0.0
2004-09-19,8.55,0.0,0.0,0.0,0.0
2004-09-20,5.32,0.0,0.0,0.0,0.0
2004-09-21,7.79,0.0,0.0,0.0,0.0
2004-09-22,7.98,0.0,0.0,0.0,0.0
2004-09-23,8.17,0.0,0.0,0.0,0.0
2004-09-24,5.7,0.0,0.0,0.0,0.0
2004-09-25,8.74,0.0,0.0,0.0,0.0
2004-09-26,8.55,0.0,0.0,0.0,0.0
2004-09-27,7.79,0.0,0.0,0.0,0.27
2004-09-28,10.45,0.0,0.0,0.0,0.0
2004-09-29,5.32,0.0,0.0,0.0,0.0
2004-09-30,5.51,0.0,0.0,0.0,0.0
2004-10-01,6.27,0.0,0.0,0.0,0.0
2004-10-02,6.08,0.0,0.0,0.0,0.0
2004-10-03,0.0,0.0,0.31,0.0,0.0
2004-10-04,7.22,0.0,0.0,0.0,0.0
2004-10-05,3.61,0.0,0.0,0.0,0.0
2004-10-06,3.8,0.0,0.0,0.0,0.0
2004-10-07,5.13,0.0,0.0,0.0,0.0
2004-10-08,6.08,0.0,0.0,0.0,0.22
2004-10-09,0.0,0.0,0.0,0.0,0.0
2004-10-10,5.7,0.0,0.0,0.0,0.0
2004-10-11,9.5,0.0,0.0,0.0,0.0
2004-10-12,0.0,0.0,1.0,0.0,0.0
2004-10-13,0.0,0.0,0.0,0.0,0.0
2004-10-14,5.51,0.0,0.0,0.0,0.0
2004-10-15,6.65,0.0,0.0,0.0,0.0
2004-10-16,6.08,0.0,0.0,0.0,0.0
2004-10-17,0.0,0.0,0.0,0.0,0.0
2004-10-18,3.61,0.0,0.19,0.0,0.0
2004-10-19,7.03,0.0,0.0,0.0,0.0
2004-10-20,17.67,0.0,0.0,0.0,0.0
2004-10-21,7.41,0.0,0.0,0.0,0.0
2004-10-22,7.98,0.0,0.0,0.0,0.0
2004-10-23,5.89,0.0,0.0,0.0,0.0
2004-10-24,0.0,0.0,0.0,0.0,0.0
2004-10-25,5.32,0.0,0.0,0.0,0.0
2004-10-26,0.0,0.0,0.0,0.0,0.0
2004-10-27,4.75,0.0,0.0,0.0,0.0
2004-10-28,7.41,0.0,0.0,0.0,0.0
2004-10-29,0.0,0.0,0.0,0.0,0.0
2004-10-30,7.6,0.0,0.4,0.0,0.0
2004-10-31,5.89,0.0,0.0,0.0,0.31
2004-11-01,6.8,0.0,0.0,0.0,0.0
2004-11-02,4.0,0.0,0.0,0.0,0.0
2004-11-03,4.2,0.0,0.0,0.0,0.0
2004-11-04,0.0,0.0,0.0,0.21,0.0
2004-11-05,8.8,0.0,0.22,0.0,0.0
2004-11-06,13.2,0.0,0.0,0.0,0.0
2004-11-07,9.6,0.0,0.0,0.0,0.0
2004-11-08,19.0,0.0,0.0,0.0,0.0
2004-11-09,0.0,0.0,0.0,0.0,0.0
2004-11-10,5.2,0.0,0.0,0.0,0.0
2004-11-11,4.2,0.0,0.0,0.0,0.0
2004-11-12,0.0,0.0,0.0,0.0,0.0
2004-11-13,6.8,0.0,0.0,0.0,0.0
2004-11-14,6.4,0.0,0.0,0.0,0.0
2004-11-15,8.2,0.0,0.0,0.0,0.0
2004-11-16,8.0,0.0,0.0,0.0,0.0
2004-11-17,4.0,0.0,0.0,0.0,0.0
2004-11-18,10.2,0.0,0.0,0.0,0.0
2004-11-19,19.0,0.0,0.0,0.0,0.0
2004-11-20,8.8,0.0,0.0,0.0,0.0
2004-11-21,6.2,0.0,0.0,0.0,0.0
2004-11-22,6.6,0.0,0.0,0.0,0.0
2004-11-23,4.0,0.0,0.0,0.0,0.0
2004-11-24,6.4,0.0,0.0,0.0,0.42
2004-11-25,0.0,0.0,0.0,0.0,0.0
2004-11-26,6.6,0.0,0.0,0.0,0.0
2004-11-27,20.0,0.0,0.0,0.0,0.0
2004-11-28,0.0,0.0,0.0,0.0,0.0
2004-11-29,5.8,0.0,0.0,0.0,0.0
2004-11-30,5.2,0.0,0.0,0.0,0.0
2004-12-01,6.51,0.0,0.0,0.0,0.0
2004-12-02,10.08,0.0,0.0,0.0,0.0
2004-12-03,9.45,0.0,0.0,0.0,0.0
2004-12-04,10.5,0.0,0.51,0.0,0.5
2004-12-05,0.0,0.0,0.0,0.0,0.0
2004-12-06,19.53,0.0,0.0,0.0,0.0
2004-12-07,0.0,0.0,0.0,0.0,0.0
2004-12-08,6.93,0.0,0.0,0.0,0.0
2004-12-09,0.0,0.0,0.0,0.0,0.0
2004-12-10,0.0,0.0,0.0,0.0,0.34
2004-12-11,10.71,0.0,0.0,0.0,0.0
2004-12-12,15.33,0.0,0.0,0.0,0.0
2004-12-13,12.81,0.0,0.0,0.0,0.0
2004-12-14,0.0,0.0,0.0,0.0,0.0
2004-12-15,10.08,0.0,0.0,0.0,0.0
2004-12-16,6.93,0.0,0.0,0.0,0.0
2004-12-17,7.35,0.0,0.0,0.0,0.0
2004-12-18,11.13,0.0,0.0,0.0,0.0
2004-12-19,0.0,0.0,0.0,0.0,0.0
2004-12-20,6.93,0.0,0.0,0.0,0.0
2004-12-21,9.45,0.0,0.0,0.0,0.0
2004-12-22,14.91,0.0,0.0,0.0,0.0
2004-12-23,8.4,0.0,0.0,0.0,0.0
2004-12-24,11.34,0.0,0.0,0.0,0.0
2004-12-25,14.7,0.0,0.0,0.0,0.0
2004-12-26,12.39,0.0,0.0,0.0,0.0
2004-12-27,8.4,0.0,0.0,0.0,0.0
2004-12-28,0.0,0.0,0.0,0.0,0.0
2004-12-29,15.96,0.0,0.0,0.0,0.0
2004-12-30,21.0,0.0,0.4,0.0,0.0
2004-12-31,0.0,0.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,0.0,0.0
2005-01-02,18.88,0.0,0.0,0.0,0.0
2005-01-03,24.96,0.0,0.0,0.0,0.78
2005-01-04,22.72,0.0,0.0,0.0,0.0
2005-01-05,19.2,0.0,0.0,0.0,0.7
2005-01-06,32.0,0.0,0.0,0.0,0.0
2005-01-07,24.32,0.0,0.0,0.0,0.76
2005-01-08,23.36,0.0,1.1,0.0,0.0
2005-01-09,16.96,0.0,0.0,0.0,0.0
2005-01-10,21.76,0.0,0.68,0.0,0.0
2005-01-11,10.56,0.0,0.0,0.0,0.0
2005-01-12,10.88,0.0,0.0,0.0,0.0
2005-01-13,21.76,0.0,0.0,0.0,0.0
2005-01-14,15.36,0.0,0.0,0.0,0.0
2005-01-15,28.48,0.0,0.0,0.0,0.0
2005-01-16,16.64,0.0,0.0,0.0,0.0
2005-01-17,10.88,0.0,0.0,0.0,0.68
2005-01-18,14.08,0.0,0.0,0.0,0.66
2005-01-19,25.28,0.0,0.0,0.0,0.0
2005-01-20,11.2,0.0,0.0,0.0,0.0
2005-01-21,17.28,0.0,0.0,0.0,0.0
2005-01-22,16.96,0.0,0.0,0.0,0.0
2005-01-23,16.32,0.0,0.0,0.0,0.0
2005-01-24,17.28,0.0,0.0,0.0,0.0
2005-01-25,20.8,0.0,0.0,0.0,0.0
2005-01-26,17.92,0.0,0.0,0.0,0.68
2005-01-27,10.88,0.0,0.0,0.0,0.0
2005-01-28,28.48,0.0,0.0,0.0,0.0
2005-01-29,0.0,0.0,0.0,0.0,0.0
2005-01-30,16.0,0.0,0.0,0.0,0.0
2005-01-31,24.32,0.0,0.0,0.0,0.0
2005-02-01,7.68,0.0,0.0,0.0,0.0
2005-02-02,7.92,0.0,0.0,0.0,0.0
2005-02-03,6.0,0.0,0.0,0.0,0.0
2005-02-04,6.24,0.0,0.0,0.0,0.0
2005-02-05,12.48,0.0,0.0,0.0,0.0
2005-02-06,6.0,0.0,0.25,0.0,0.0
2005-02-07,6.0,0.0,0.0,0.0,0.0
2005-02-08,10.56,0.0,0.0,0.0,0.0
2005-02-09,4.08,0.0,0.0,0.0,0.0
2005-02-10,7.92,0.0,0.0,0.0,0.0
2005-02-11,4.32,0.0,0.0,0.0,0.36
2005-02-12,6.0,0.0,0.0,0.0,0.0
2005-02-13,0.0,0.0,0.0,0.0,0.0
2005-02-14,3.84,0.0,0.0,0.0,0.0
2005-02-15,5.76,0.0,0.0,0.0,0.0
2005-02-16,9.6,0.0,0.0,0.0,0.0
2005-02-17,5.04,0.0,0.0,0.0,0.32
2005-02-18,8.16,0.0,0.0,0.0,0.0
2005-02-19,6.0,0.0,0.0,0.0,0.0
2005-02-20,8.64,0.0,0.0,0.0,0.0
2005-02-21,7.44,0.0,0.0,0.0,0.0
2005-02-22,4.8,0.0,0.0,0.0,0.0
2005-02-23,7.44,0.0,0.0,0.0,0.0
2005-02-24,0.0,0.0,0.0,0.0,0.0
2005-02-25,4.08,0.0,0.0,0.0,0.0
2005-02-26,24.0,0.0,0.0,0.0,0.0
2005-02-27,7.2,0.0,0.0,0.0,0.0
2005-02-28,7.2,0.0,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0
2005-03-02,28.0,0.0,0.0,0.0,0.0
2005-03-03,10.92,0.0,0.0,0.0,0.0
2005-03-04,12.32,0.0,0.0,0.0,0.0
2005-03-05,21.56,0.0,0.0,0.0,0.0
2005-03-06,10.36,0.0,0.0,0.0,0.0
2005-03-07,20.16,0.0,0.0,0.0,0.0
2005-03-08,15.4,0.0,0.0,0.0,0.0
